"Date","Price","Open","High","Low","Vol.","Change %"
"07/22/1988","130.88","130.88","132.28","130.43","","-0.61%"
"07/21/1988","131.68","131.68","134.02","131.38","","-1.57%"
"07/20/1988","133.77","133.77","133.82","132.63","","0.49%"
"07/19/1988","133.12","133.12","134.61","133.02","","-0.95%"
"07/18/1988","134.39","134.39","135.54","134.34","","-0.77%"
"07/15/1988","135.44","135.44","135.54","133.18","","1.62%"
"07/14/1988","133.28","133.28","133.28","132.63","","0.46%"
"07/13/1988","132.68","132.68","133.15","131.97","","0.30%"
"07/12/1988","132.28","132.28","133.07","132.28","","-0.41%"
"07/11/1988","132.82","132.82","133.87","132.36","","-0.18%"
"07/08/1988","133.07","133.07","133.23","131.73","","0.26%"
"07/07/1988","132.72","132.72","133.18","131.29","","-0.15%"
"07/06/1988","132.92","132.92","133.87","132.92","","-0.78%"
"07/05/1988","133.97","133.97","135.51","133.67","","-1.02%"
"07/04/1988","135.34","135.34","135.49","134.49","","0.71%"
"07/01/1988","134.39","134.39","134.72","133.23","","0.96%"
"06/30/1988","133.12","133.12","133.87","131.78","","0.41%"
"06/29/1988","132.58","132.58","134.02","131.97","","-0.30%"
"06/28/1988","132.97","132.97","133.07","129.63","","1.40%"
"06/27/1988","131.14","131.14","131.73","130.58","","0.54%"
"06/24/1988","130.43","130.43","130.88","128.39","","1.46%"
"06/23/1988","128.55","128.55","129.78","128.14","","-0.24%"
"06/22/1988","128.86","128.86","128.91","126.41","","1.97%"
"06/21/1988","126.38","126.38","126.56","126.07","","0.09%"
"06/20/1988","126.26","126.26","126.82","125.72","","0.43%"
"06/17/1988","125.72","125.72","125.87","125.49","","0.14%"
"06/16/1988","125.54","125.54","126.23","125.40","","-0.58%"
"06/15/1988","126.28","126.28","126.52","125.98","","-0.15%"
"06/14/1988","126.47","126.47","127.77","124.82","","1.11%"
"06/13/1988","125.08","125.08","125.26","124.94","","0.24%"
"06/10/1988","124.79","124.79","125.04","124.48","","0.17%"
"06/09/1988","124.58","124.58","125.57","124.48","","-0.76%"
"06/08/1988","125.53","125.53","125.62","124.94","","0.10%"
"06/07/1988","125.39","125.39","125.82","125.33","","-0.23%"
"06/06/1988","125.69","125.69","126.41","125.67","","-0.26%"
"06/03/1988","126.02","126.02","126.33","125.17","","-0.13%"
"06/02/1988","126.18","126.18","126.67","125.33","","0.64%"
"06/01/1988","125.38","125.38","125.40","124.89","","0.17%"
"05/31/1988","125.17","125.17","125.28","124.68","","0.16%"
"05/30/1988","124.97","124.97","125.18","124.84","","0.08%"
"05/27/1988","124.87","124.87","125.07","124.43","","0.32%"
"05/26/1988","124.48","124.48","124.68","124.25","","0.08%"
"05/25/1988","124.38","124.38","124.43","124.05","","0.16%"
"05/24/1988","124.18","124.18","124.45","123.94","","-0.24%"
"05/23/1988","124.48","124.48","124.87","124.33","","-0.25%"
"05/20/1988","124.79","124.79","125.12","124.68","","-0.04%"
"05/19/1988","124.84","124.84","124.99","124.54","","-0.07%"
"05/18/1988","124.92","124.92","125.62","124.72","","-0.56%"
"05/17/1988","125.62","125.62","126.93","124.58","","0.59%"
